,x,y,emoji
118,-8.250914686336742,1.9481394203457232,⚓️
119,-10.567479430929392,-10.45211578254184,⚔
120,-6.52578007848225,-7.868513607474772,⚖
121,7.70781251341545,-3.789151978963808,⚗
122,2.6939197631019263,-10.035920243294292,⚙
123,-3.615893994441097,-12.428646731666197,⚛
124,-19.31149182442453,-1.8397759984131499,⚠️
125,-12.05686410788358,-7.244333709266678,⚡
126,-17.009741893743367,-1.6828900599934806,⚡️
127,-18.007088538123895,-8.794043583270001,⚪
128,-17.167353427237572,-9.283182945614426,⚪️
129,-7.017125669076088,-5.692978712895106,⚫
130,-16.535738358373063,-7.767109485764114,⚫️
131,-18.04058213756355,-11.125129074738485,⚰
132,12.61127549009036,-0.8731205678016544,⚱
133,-13.26814072162492,6.638365790774694,⚽
134,-5.7489583084427025,5.680861923130305,⚽️
135,-6.897293804042569,-5.60763830234275,⚾
136,-11.268506096565318,-14.185071226852784,⚾️
137,14.06945235028156,-1.2551974412961946,⛄
138,13.561803248237155,5.699296070778793,⛄️
139,0.06983863637421799,-1.4955330347701266,⛅
140,1.445865502295761,-4.3451623780003885,⛅️
141,-8.693154959316251,-10.12060926357576,⛈
142,2.238536871461705,5.324056417598085,⛎
143,-2.2258874071771424,-12.789300283266499,⛏
144,-15.149150213688042,-8.937275906169486,⛑
145,7.180378128254338,6.011787377741835,⛓
146,-5.477263277419256,14.80952753079199,⛔
147,-8.254284749842265,-13.945517023223303,⛔️
148,-9.90721814663243,-3.8720673323033474,⛩
149,3.8832727135784606,-12.022304406398925,⛪
150,4.185533992701192,10.711714037102002,⛪️
151,9.291937275419036,-4.663451795180279,⛰
152,3.9550476341728595,11.05287910318163,⛱
153,3.3242107109167343,-5.7238354411968535,⛲
154,10.831283515347069,-1.6357637907486966,⛲️
155,-15.229218557467181,-9.74797665702605,⛳
156,-2.379754359752082,-7.105776226576311,⛳️
157,14.377685376112462,-3.5113587817998835,⛴
158,1.8178154506764335,-11.444371557307711,⛵️
159,5.864909807350884,-10.440843835236043,⛷
160,-16.26410979964429,-1.6002920387645463,⛸
161,-13.57555222548602,-12.234532565988323,⛹
162,9.329743551891225,-5.230814446977867,⛺
163,8.553833248525093,-4.980101711154615,⛺️
164,10.59294006713463,0.455891505536409,⛽
165,8.600525531339144,-11.107341832739973,⛽️
166,9.305078717546657,3.6076254384849094,✂️
167,-15.180845190517303,-6.476244698450649,✅
168,3.3221361302955525,-11.980577056848135,✈️
169,-13.339984336185571,-9.477757211577671,✉️
170,-11.073209117661671,11.313697236700731,✊
171,-15.45961424499367,11.253090113008877,✊🏻
172,-16.521562926459943,-6.726908984571536,✊🏼
173,-1.5896913957961567,12.28855101130659,✊🏽
174,-13.782216706590896,14.287047919594515,✊🏾
175,-16.18648813227707,1.841111180817153,✊🏿
176,-6.89924734957165,-11.263473530013114,✋
177,-16.37550638859915,6.107718220727321,✋🏻
178,-17.080833825558898,7.077427701932925,✋🏼
179,-2.2544028213212983,11.7696014431385,✋🏽
180,-3.2960083401926354,10.979682590155367,✋🏾
181,-5.979196187294929,8.768091979667037,✋🏿
182,-13.934809475971182,1.5338351977953288,✌️
183,-13.331127885721916,-8.974824366058154,✍
184,-11.202429037573651,8.570326180921324,✏️
185,-15.020565101911922,-7.579196728818582,✒️
